import time: self [us] | cumulative | imported package
import time:        67 |         67 | winreg
import time:       129 |        129 |   _io
import time:        30 |         30 |   marshal
import time:       121 |        121 |   nt
import time:       432 |        711 | _frozen_importlib_external
import time:       280 |        280 |   time
import time:       157 |        436 | zipimport
import time:        44 |         44 |     _codecs
import time:       403 |        447 |   codecs
import time:       899 |        899 |   encodings.aliases
import time:       520 |        520 |   encodings._win_cp_codecs
import time:      1270 |       3136 | encodings
import time:       414 |        414 | encodings.utf_8
import time:       414 |        414 | encodings.cp1252
import time:        43 |         43 | _signal
import time:        29 |         29 |       _abc
import time:       130 |        158 |     abc
import time:        40 |         40 |       _stat
import time:       125 |        165 |     stat
import time:       614 |        614 |     _collections_abc
import time:        64 |         64 |       genericpath
import time:        63 |         63 |       _winapi
import time:       163 |        288 |     ntpath
import time:       338 |       1561 |   os
import time:        65 |         65 |   _sitebuiltins
import time:        40 |         40 |   errno
import time:       501 |        501 |   encodings.utf_8_sig
import time:      1124 |       1124 |   _distutils_hack
import time:       424 |        424 |     pywin32_system32
import time:       783 |       1207 |   pywin32_bootstrap
import time:       292 |        292 |   sitecustomize
import time:       201 |        201 |   usercustomize
import time:      1330 |       6315 | site
import time:       617 |        617 | __future__
import time:        45 |         45 |           _types
import time:       476 |        520 |         types
import time:      1042 |       1562 |       enum
import time:        58 |         58 |         _sre
import time:       404 |        404 |           re._constants
import time:       450 |        854 |         re._parser
import time:       283 |        283 |         re._casefix
import time:       552 |       1746 |       re._compiler
import time:        92 |         92 |           itertools
import time:       385 |        385 |           keyword
import time:        63 |         63 |             _operator
import time:       492 |        554 |           operator
import time:       381 |        381 |           reprlib
import time:        52 |         52 |           _collections
import time:      1217 |       2678 |         collections
import time:        39 |         39 |         _functools
import time:       631 |       3348 |       functools
import time:       390 |        390 |       copyreg
import time:       578 |       7622 |     re
import time:        44 |         44 |       _json
import time:       509 |        553 |     json.scanner
import time:       658 |       8832 |   json.decoder
import time:       494 |        494 |   json.encoder
import time:       558 |       9883 | json
import time:        46 |         46 |   math
import time:        37 |         37 |     _typing
import time:      1794 |       1831 |   typing
import time:       541 |        541 |         _weakrefset
import time:       851 |       1391 |       weakref
import time:       523 |       1914 |     copy
import time:       710 |        710 |           _ast
import time:       669 |       1379 |         ast
import time:      1385 |       2763 |       annotationlib
import time:       600 |        600 |         io
import time:        44 |         44 |           _opcode
import time:       570 |        570 |           _opcode_metadata
import time:       598 |       1212 |         opcode
import time:      1125 |       2936 |       dis
import time:       598 |        598 |         importlib
import time:        62 |        660 |       importlib.machinery
import time:       456 |        456 |       linecache
import time:       500 |        500 |         token
import time:        37 |         37 |         _tokenize
import time:       994 |       1530 |       tokenize
import time:      1695 |      10037 |     inspect
import time:       837 |      12787 |   dataclasses
import time:        49 |         49 |           _datetime
import time:       514 |        562 |         datetime
import time:      5394 |       5394 |         _sqlite3
import time:        40 |         40 |             _contextvars
import time:       658 |        697 |           _py_warnings
import time:       601 |       1298 |         warnings
import time:       556 |       7808 |       sqlite3.dbapi2
import time:       818 |       8626 |     sqlite3
import time:        55 |         55 |       _struct
import time:       490 |        544 |     struct
import time:       336 |        336 |         posix
import time:       280 |        280 |         posix
import time:       114 |        730 |       posixpath
import time:       747 |        747 |         contextlib
import time:       592 |        592 |         fnmatch
import time:       670 |       2008 |       glob
import time:       331 |        331 |       pwd
import time:       273 |        273 |       grp
import time:       320 |        320 |         fcntl
import time:       301 |        301 |         posix
import time:       539 |       1158 |       pathlib._os
import time:       901 |       5400 |     pathlib
import time:       852 |        852 |               textwrap
import time:       482 |        482 |               codeop
import time:      3558 |       3558 |               _colorize
import time:       869 |       5760 |             traceback
import time:        38 |         38 |               _string
import time:       696 |        733 |             string
import time:       992 |        992 |             threading
import time:        46 |         46 |             atexit
import time:      1702 |       9231 |           logging
import time:        36 |         36 |               _bisect
import time:       573 |        609 |             bisect
import time:        26 |         26 |             _random
import time:       861 |       1495 |           random
import time:       619 |        619 |           sklearn._config
import time:        96 |         96 |               zlib
import time:     15705 |      15800 |             sklearn.__check_build._check_build
import time:       453 |      16252 |           sklearn.__check_build
import time:       972 |        972 |               sysconfig
import time:      3850 |       3850 |               _ctypes
import time:       562 |        562 |               ctypes._endian
import time:      1167 |       6549 |             ctypes
import time:      1606 |       8154 |           sklearn._distributor_init
import time:       676 |        676 |             numbers
import time:      2167 |       2167 |               _wmi
import time:       977 |       3143 |             platform
import time:       528 |        528 |               numpy.version
import time:       420 |        420 |               numpy._expired_attrs_2_0
import time:       505 |        505 |                   numpy._utils._conversions
import time:       390 |        895 |                 numpy._utils
import time:       528 |       1422 |               numpy._globals
import time:        76 |         76 |                 numpy._distributor_init_local
import time:       439 |        514 |               numpy._distributor_init
import time:       715 |        715 |                         numpy.exceptions
import time:       588 |        588 |                         numpy._core._exceptions
import time:       537 |        537 |                           contextvars
import time:       439 |        976 |                         numpy._core.printoptions
import time:       401 |        401 |                         numpy.dtypes
import time:    439175 |     441852 |                       numpy._core._multiarray_umath
import time:       388 |        388 |                         numpy._utils._inspect
import time:       548 |        935 |                       numpy._core.overrides
import time:      1385 |     444171 |                     numpy._core.multiarray
import time:       420 |        420 |                     numpy._core.umath
import time:       377 |        377 |                       numpy._core._string_helpers
import time:       503 |        503 |                       numpy._core._type_aliases
import time:       480 |       1360 |                     numpy._core.numerictypes
import time:       611 |        611 |                                 _compat_pickle
import time:        87 |         87 |                                 _pickle
import time:       967 |       1664 |                               pickle
import time:       436 |       2099 |                             numpy._core._methods
import time:       759 |       2858 |                           numpy._core.fromnumeric
import time:       532 |       3389 |                         numpy._core.shape_base
import time:       389 |        389 |                         numpy._core._ufunc_config
import time:       402 |        402 |                         numpy._core._asarray
import time:      1664 |       1664 |                         numpy._core.arrayprint
import time:       884 |       6727 |                       numpy._core.numeric
import time:       513 |       7239 |                     numpy._core.einsumfunc
import time:       467 |        467 |                     numpy._core.function_base
import time:       437 |        437 |                     numpy._core.getlimits
import time:       426 |        426 |                     numpy._core.memmap
import time:       458 |        458 |                     numpy._core.records
import time:      2730 |       2730 |                     numpy._core._add_newdocs
import time:       717 |        717 |                     numpy._core._add_newdocs_scalars
import time:       527 |        527 |                     numpy._core._dtype
